File,Mean,RMSE,StdDev,Max,P90
Studente 1(a)_RTI_pointcloud.xyz,39.69587929288275,53.44276869038219,35.7822119559227,142.12670403551894,95.79248297233687
Studente 10(a)_RTI_pointcloud.xyz,21.40832119681107,35.13475669726429,27.859197973203166,171.14321488157222,44.553338819890925
Studente 11(a)_RTI_pointcloud.xyz,26.542325332695153,43.42227013089973,34.36565886541674,170.84788555905513,63.02935783435931
Studente 12(a)_RTI_pointcloud.xyz,35.29329910080352,51.830517656755696,37.95768168827603,152.12166183683374,100.65783625729296
Studente 13(a)_RTI_pointcloud.xyz,32.5604564407295,48.01413094304419,35.287015268893875,171.1286066091815,69.18092222571191
Studente 14(a)_RTI_pointcloud.xyz,43.09739324299765,85.26685886481957,73.57344572827537,281.04270138183625,192.9269210546607
Studente 15(a)_RTI_pointcloud.xyz,35.55316489102852,47.11831472612776,30.920996893078406,200.4195599236761,75.18643494673756
Studente 16(a)_RTI_pointcloud.xyz,49.33494351833245,69.64374345728662,49.15602049380421,220.592384274707,120.00791626885783
Studente 17(a)_RTI_pointcloud.xyz,67.77808676209511,92.04095978739022,62.27093409813195,266.6027006614899,160.3527361787132
Studente 18(a)_RTI_pointcloud.xyz,39.601668611589325,55.98122269135925,39.56772848164798,176.30938715791623,100.80674580602232
Studente 19(a)_RTI_pointcloud.xyz,19.90035570468803,33.75147742920485,27.260558898911352,201.0994778710278,41.19465984809196
Studente 2(a)_RTI_pointcloud.xyz,16.315486257648985,26.00720112668536,20.2528866737641,88.45903006477066,48.75448697299562
Studente 20(a)_RTI_pointcloud.xyz,23.427889138676182,35.06268971077365,26.086897482450663,157.15597347857954,55.44366510251645
Studente 3(a)_RTI_pointcloud.xyz,69.02531901607401,96.97843995078844,68.11991742521339,248.8875247978492,169.07099100673656
Studente 4(a)_RTI_pointcloud.xyz,13.984087072934942,33.504044590407055,30.446121471421584,689.9637671646244,28.133580285031197
Studente 5(a)_RTI_pointcloud.xyz,50.57358531610325,70.30669092703901,48.83997601744923,278.6323742855449,106.25441167311595
Studente 6(a)_RTI_pointcloud.xyz,90.73311114850297,127.74917792145013,89.92972256667828,325.909496639788,251.00796800101784
Studente 7(a)_RTI_pointcloud.xyz,26.727706114278465,40.40353080093741,30.299752920627252,189.85520798756087,63.0015872016187
Studente 8(a)_RTI_pointcloud.xyz,22.060903268036732,34.50734619100679,26.53438313103052,132.03408650799233,45.0
Studente 9(a)_RTI_pointcloud.xyz,37.83136444249475,65.87168915475046,53.92464461189533,248.04031930313266,106.86439022794933
