File,Mean,RMSE,StdDev,Max,P90
Studente 1(b)_RTI_pointcloud.xyz,72.00922908768928,98.79580193408007,67.64082647332647,224.89997776789573,186.01800955045016
Studente 10(b)_RTI_pointcloud.xyz,39.33019753811127,62.23871102025242,48.2368397708187,171.0,128.09761902549164
Studente 11(b)_RTI_pointcloud.xyz,49.72992104502958,72.6282631559746,52.93202775171779,186.0,136.9824761528522
Studente 12(b)_RTI_pointcloud.xyz,50.58050258596874,65.78403568073325,42.0612899064543,148.0,111.8257573191436
Studente 13(b)_RTI_pointcloud.xyz,25.524882780109643,33.99565240951238,22.454058470798703,93.92017887546851,68.8839603971781
Studente 14(b)_RTI_pointcloud.xyz,53.834624523044596,74.73118566325431,51.832261315695966,179.0,145.77585528152466
Studente 15(b)_RTI_pointcloud.xyz,43.9425847632066,65.42725792935273,48.47448116774902,178.3704011320264,129.4434233448619
Studente 16(b)_RTI_pointcloud.xyz,42.51925381243115,59.43387382040169,41.52708047206653,157.0,112.99070669077294
Studente 17(b)_RTI_pointcloud.xyz,46.76407485652488,83.31458107699486,68.9524526238805,478.51123288800653,111.00315308917651
Studente 18(b)_RTI_pointcloud.xyz,77.00799548602372,94.04958259091838,53.991597649546605,182.17573932881405,163.3171723060097
Studente 19(b)_RTI_pointcloud.xyz,24.83210261570628,36.085669272162924,26.182860930443734,103.12128781197411,77.92945527847606
Studente 2(b)_RTI_pointcloud.xyz,34.42402892572538,56.24273522445139,44.47731442037127,164.97575579460153,112.75194011634566
Studente 20(b)_RTI_pointcloud.xyz,38.61119908461545,53.26683604547773,36.69511040375812,128.06248474865697,106.42743449773
Studente 3(b)_RTI_pointcloud.xyz,56.11470462512117,76.19299644716486,51.54136816609626,178.71765441612084,149.0
Studente 4(b)_RTI_pointcloud.xyz,67.56806250193752,98.0387160487219,71.03623564221421,291.94006234157035,169.85287751463028
Studente 5(b)_RTI_pointcloud.xyz,33.72043612144123,45.22317619403619,30.134164213673532,149.00335566691106,57.48912940721924
Studente 6(b)_RTI_pointcloud.xyz,40.760478440134676,57.96730268553134,41.216399381403086,156.62694531912445,110.88821793225972
Studente 7(b)_RTI_pointcloud.xyz,57.53560917611097,76.40049592588643,50.266185994714235,180.56854654119581,131.30993507008307
Studente 8(b)_RTI_pointcloud.xyz,41.63748972551533,66.09431524316359,51.33008822143491,166.652332716947,139.77839604173457
Studente 9(b)_RTI_pointcloud.xyz,44.708060191451644,65.01687309304366,47.20575325862813,158.0,127.34991166074674
